('ELE62598', 'ELE17451') 0.21338912133891214
('GRO38983', 'ELE26917') 0.2133492252681764
('DAI35347', 'DAI62779') 0.21320754716981133
('FRO89565', 'FRO40251') 0.2131782945736434
('GRO99222', 'ELE26917') 0.2119205298013245
('SNA40784', 'GRO59710') 0.21176470588235294
('FRO16142', 'GRO73461') 0.21160042964554243
('GRO32086', 'FRO53271') 0.21144859813084113
('DAI85309', 'ELE17451') 0.2102049716528565
('ELE12792', 'SNA80324') 0.2091346153846154
('SNA12663', 'GRO73461') 0.2084130019120459
('SNA72163', 'DAI22896') 0.20825688073394497
('SNA96271', 'SNA45677') 0.20772200772200772
('FRO43226', 'ELE32164') 0.20754716981132076
('SNA90258', 'DAI62779') 0.20727272727272728
('GRO30386', 'GRO73461') 0.20652173913043478
('SNA12663', 'DAI63921') 0.20650095602294455
('SNA88283', 'DAI62779') 0.20578034682080926
('SNA90258', 'ELE17451') 0.20545454545454545
('GRO88511', 'DAI62779') 0.2046783625730994
('GRO59710', 'ELE17451') 0.20359281437125748
('FRO24098', 'FRO40251') 0.2034548944337812
('ELE53126', 'DAI62779') 0.2031063321385902
('FRO35904', 'DAI62779') 0.20264623955431754
('ELE78169', 'DAI48891') 0.2025089605734767
('FRO43226', 'DAI86167') 0.20240137221269297
('DAI59508', 'DAI62779') 0.20226308345120225
('ELE37798', 'GRO73461') 0.20224719101123595
('SNA18336', 'FRO40251') 0.2016925246826516
('SNA96466', 'FRO80039') 0.2015810276679842
('FRO89565', 'ELE17451') 0.20155038759689922
('SNA12663', 'FRO40251') 0.20076481835564053
('ELE14480', 'DAI62779') 0.2005231037489102
('FRO19221', 'SNA53220') 0.20051746442432083
('SNA47306', 'FRO40251') 0.2
('DAI75645', 'ELE17451') 0.19992690058479531
('GRO69543', 'ELE32164') 0.19954648526077098
('DAI63921', 'DAI62779') 0.1990975747320925
('DAI88807', 'DAI62779') 0.19832826747720364
('FRO75586', 'ELE17451') 0.19816272965879264
('GRO73461', 'DAI75645') 0.19766796224319821
('FRO16142', 'ELE32164') 0.19763694951664876
('ELE49801', 'GRO46854') 0.1975867269984917
('GRO69543', 'DAI31081') 0.19727891156462585
('GRO46854', 'DAI85309') 0.1970387243735763
('GRO56989', 'ELE17451') 0.1969465648854962
('SNA80324', 'ELE17451') 0.19612352168199737
('GRO64900', 'DAI62779') 0.1959847036328872
('FRO43226', 'FRO66272') 0.1955403087478559
('SNA88283', 'ELE17451') 0.19537572254335261
('FRO19221', 'SNA93860') 0.19534282018111254
('SNA99873', 'DAI62779') 0.19491118578972635
('GRO83463', 'ELE17451') 0.1948529411764706
('ELE11111', 'GRO73461') 0.19482120838471023
('SNA38068', 'FRO40251') 0.19482120838471023
('DAI73122', 'DAI62779') 0.19434628975265017
('FRO92469', 'ELE17451') 0.19434628975265017
('ELE11111', 'FRO40251') 0.1935881627620222
('ELE11111', 'SNA80324') 0.1935881627620222
('ELE12792', 'SNA69641') 0.1935096153846154
('ELE74482', 'DAI62779') 0.19300911854103345
('GRO32086', 'FRO40251') 0.1927570093457944
('DAI91290', 'ELE17451') 0.19244288224956063
('SNA50789', 'FRO40251') 0.1921768707482993
('GRO94758', 'SNA45677') 0.19207521826729348
('DAI42493', 'ELE17451') 0.1918081918081918
('GRO35122', 'DAI62779') 0.19131455399061034
('GRO83463', 'ELE32164') 0.19117647058823528
('ELE12792', 'ELE17451') 0.19110576923076922
('GRO81087', 'ELE32164') 0.19098360655737706
('DAI55911', 'DAI75645') 0.19096509240246407
('ELE37770', 'ELE53126') 0.19047619047619047
('GRO44993', 'GRO73461') 0.19027661357921208
('SNA55952', 'DAI62779') 0.19012797074954296
('ELE74009', 'GRO73461') 0.18997797356828194
('GRO69543', 'DAI62779') 0.1893424036281179
('DAI92600', 'DAI62779') 0.1893048128342246
('GRO61133', 'GRO73461') 0.18925056775170326
('DAI83948', 'DAI75645') 0.1891566265060241
('ELE20196', 'DAI62779') 0.1889908256880734
('FRO43226', 'GRO73461') 0.18867924528301888
('SNA71332', 'ELE32164') 0.18853974121996303
('DAI83948', 'GRO73461') 0.18795180722891566
('SNA20554', 'SNA45677') 0.1879021879021879
